schema_version	run_id	experiment_id	run_kind	status	artifact_type	path	size_bytes	sha256	source_checkpoint_sha256	selection_rule
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	artifact_manifest	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/artifact_manifest.json	12330	197b54fc9b1c980a75494d0b201f43ea413fe3221ae39349a799d0b9dcb66fb8	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	checkpoint_000	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/resnet50_checkpoint_14880.pt	327027980	876d7a150bf910b0b99bf19fec1c8f31e1b02436b965f771463d33d3cc980ce8	876d7a150bf910b0b99bf19fec1c8f31e1b02436b965f771463d33d3cc980ce8	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	checkpoint_001	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/resnet50_checkpoint_22320.pt	327027980	49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45	49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	checkpoint_002	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/resnet50_checkpoint_7440.pt	327027980	07db4a8e727704007d97af69c70c5c3033a28f8a9840f424337700b37dffca91	07db4a8e727704007d97af69c70c5c3033a28f8a9840f424337700b37dffca91	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	checkpoint_manifest	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/checkpoint_manifest.tsv	987	99bd8abb418bbface7d9e4f09163304c9e33d6189155cadc3ee2d90ae9c57da9	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	console_log	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/console.log	408291	5c734f9be73cf839631dae0d8a832625d4b325c8e43ac8555fb65099f1140532	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	dynamic_gating_summary	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/dynamic_gating_summary.json	2808	996786e9609cf6c79fb319c88a6a66f57a67e500e6f6825f83a659c0942b3483	49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45	sha256(stable_sample_key) ascending; first 256 query+gallery samples
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	environment	/root/autodl-tmp/BoT-reid-g2-global-local/experiment_records/runs/C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52/environment.json	978	1bf391cd74cb29abbdf6460deb3baf78d54303b13f1e288adfdb7528e0f45ffd	not_applicable	not_applicable
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	g2_analysis_controller_block_norms_csv	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/g2_gating_analysis/g2_controller_input_block_norms.csv	1745	cc24c0017f41d6ef9587c30e6aef24ef6ab93591ce60a50c7aaa44b4cd038638	49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45	sha256(stable_sample_key) ascending; first 256 query+gallery samples
5	C2-L03-MGDG-G2-GL-T1-S42-fa4e7f88f7-49a766fb52	C2-L03-MGDG-G2-GL-T1-S42	formal	success	g2_analysis_controller_block_norms_png	/root/autodl-tmp/experiments/BoT/c2_l03_mgdg_g2_global_local_tau1_seed42_market1501/g2_gating_analysis/g2_controller_input_block_norms.png	69792	6e41cd34a08d2fd8ec3994a8df4469e8c892baccbcb6d663eb9fa812452b5a48	49a766fb520cca5dfe9121f272994185db9fddee45709c9d61446c6781dc7d45	sha256(stable_sample_key) ascending; first 256 query+gallery samples
